"gene_name","EnsemblID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NR2F6","ENSG00000160113",1677.35283753964,0.0364272812349617,0.0617259574942831,0.590145260012136,0.555093267533464,0.804104513085144
"CLP1","ENSG00000172409",806.565431419309,-0.0493911352478499,0.0837125573414739,-0.590008677507932,0.555184831891427,0.804104513085144
"ENSG00000291224","ENSG00000291224",215.227790940543,-0.101366515014156,0.171784566931268,-0.590079288407284,0.555137493708938,0.804104513085144
"PAX7","ENSG00000009709",34.6395785259318,-0.240307711565092,0.407533401296474,-0.589663843014116,0.555416040370663,0.804105488767406
"ZFYVE19","ENSG00000166140",410.522590844834,0.0707729820318604,0.119972134327005,0.589911836018158,0.555249758505035,0.804105488767406
"ERI2","ENSG00000196678",710.818583113708,-0.0522773144185009,0.0886381130945407,-0.589783701315284,0.555335671107454,0.804105488767406
"RPL17-C18orf32","ENSG00000215472",69.4965657896968,-0.261354806507267,0.443205246229527,-0.589692492881542,0.5553968290967,0.804105488767406
"SLC39A3","ENSG00000141873",672.463592590393,0.0649856375114409,0.110254618031509,0.589414200254805,0.555583452974977,0.80426440505363
"MRPS10","ENSG00000048544",2122.63177384231,-0.0380594690510633,0.0646093375014113,-0.589070721398931,0.555813833145607,0.804447487395432
"POLRMT","ENSG00000099821",2584.12341099123,-0.0430833624353624,0.0731754735523739,-0.588767798059091,0.556017050367859,0.804447487395432
"DDX5","ENSG00000108654",25630.2243298423,0.020148855427982,0.0342250682300775,0.588716296853864,0.556051603743825,0.804447487395432
"CHCHD4","ENSG00000163528",1375.76007784884,-0.0391290546636191,0.0664577520898461,-0.588780893622755,0.556008264411719,0.804447487395432
"CACYBPP2","ENSG00000177855",34.4708957869895,0.220759614674834,0.37492541354555,0.588809418351187,0.555989127095556,0.804447487395432
"RGPD6","ENSG00000183054",1021.24539807251,0.151341225258963,0.257072655600685,0.58870993068218,0.556055875031648,0.804447487395432
"PIGC","ENSG00000135845",889.811290613119,-0.0458537311089513,0.0779026140937357,-0.588603240627819,0.556127459512446,0.804464951199392
"TSEN15","ENSG00000198860",1663.026741789,0.0361072316798415,0.0613531699036347,0.588514525599148,0.556186986940096,0.804464951199392
"ENSG00000306831","ENSG00000306831",702.160339393348,0.0564189417125498,0.0958797891372287,0.588434144674638,0.556240924901128,0.804464951199392
"DNM1L","ENSG00000087470",3648.50381308699,0.0296039626216355,0.0503578069720027,0.587872355881072,0.556617972894585,0.804595079080062
"LGMN","ENSG00000100600",1712.37191838772,-0.0359145902378833,0.061058452123297,-0.588200142469382,0.556397961776796,0.804595079080062
"NR4A3","ENSG00000119508",96.7706302427624,-0.146655723503928,0.249373856386436,-0.588095823792637,0.55646797611381,0.804595079080062
"TRAFD1","ENSG00000135148",927.676723154885,0.0503791688806212,0.0856977382141261,0.587870461116987,0.556619244787899,0.804595079080062
